merges,n_embed,n_heads,n_layers,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
10,16,2,8,0.0003,0.2,0.0001,cosine_warmup,270,35536,15.011750221252441,15.92856216430664,2.7088331721773082,2.768113885160102,30,../checkpoints/GPT/hparams_search/best_hps_250828_124955_e2cd131a.pt,../checkpoints/GPT/hparams_search/last_hps_250828_124955_e2cd131a.pt,../checkpoints/GPT/hparams_search/hps_250828_124955_e2cd131a_hparams.json,hps_250828_124955_e2cd131a
10,16,4,2,0.0003,0.2,0.0001,cosine_warmup,270,16912,15.092366218566895,16.054773330688477,2.714188981536251,2.776006133637632,30,../checkpoints/GPT/hparams_search/best_hps_250828_125226_4b3092af.pt,../checkpoints/GPT/hparams_search/last_hps_250828_125226_4b3092af.pt,../checkpoints/GPT/hparams_search/hps_250828_125226_4b3092af_hparams.json,hps_250828_125226_4b3092af
10,16,8,4,0.0003,0.2,0.0001,cosine_warmup,270,23120,15.097296714782715,15.994351387023926,2.7145157218779494,2.772235688752681,30,../checkpoints/GPT/hparams_search/best_hps_250828_125913_e82bd3f5.pt,../checkpoints/GPT/hparams_search/last_hps_250828_125913_e82bd3f5.pt,../checkpoints/GPT/hparams_search/hps_250828_125913_e82bd3f5_hparams.json,hps_250828_125913_e82bd3f5
10,16,8,2,0.0003,0.2,0.0001,cosine_warmup,270,16912,15.134355545043945,16.0500431060791,2.716967425250367,2.7757115827253065,30,../checkpoints/GPT/hparams_search/best_hps_250828_125804_f39a9dae.pt,../checkpoints/GPT/hparams_search/last_hps_250828_125804_f39a9dae.pt,../checkpoints/GPT/hparams_search/hps_250828_125804_f39a9dae_hparams.json,hps_250828_125804_f39a9dae
10,16,2,2,0.0003,0.2,0.0001,cosine_warmup,270,16912,15.234643936157227,16.201139450073242,2.723572110169686,2.7850815459697182,30,../checkpoints/GPT/hparams_search/best_hps_250828_124644_eb186a8c.pt,../checkpoints/GPT/hparams_search/last_hps_250828_124644_eb186a8c.pt,../checkpoints/GPT/hparams_search/hps_250828_124644_eb186a8c_hparams.json,hps_250828_124644_eb186a8c
10,16,4,4,0.0003,0.2,0.0001,cosine_warmup,270,23120,15.26339054107666,16.153522491455078,2.7254573079563627,2.7821381010805477,30,../checkpoints/GPT/hparams_search/best_hps_250828_125349_61bb4507.pt,../checkpoints/GPT/hparams_search/last_hps_250828_125349_61bb4507.pt,../checkpoints/GPT/hparams_search/hps_250828_125349_61bb4507_hparams.json,hps_250828_125349_61bb4507
10,16,2,4,0.0003,0.2,0.0001,cosine_warmup,270,23120,15.285510063171387,16.15765953063965,2.7269052518294163,2.782394197353803,30,../checkpoints/GPT/hparams_search/best_hps_250828_124821_68b13a36.pt,../checkpoints/GPT/hparams_search/last_hps_250828_124821_68b13a36.pt,../checkpoints/GPT/hparams_search/hps_250828_124821_68b13a36_hparams.json,hps_250828_124821_68b13a36
50,32,8,8,0.0003,0.2,0.0001,cosine_warmup,310,122784,19.45875358581543,21.076936721801758,2.96829711066352,3.048179453173613,30,../checkpoints/GPT/hparams_search/best_hps_250828_140509_f9cbd6b1.pt,../checkpoints/GPT/hparams_search/last_hps_250828_140509_f9cbd6b1.pt,../checkpoints/GPT/hparams_search/hps_250828_140509_f9cbd6b1_hparams.json,hps_250828_140509_f9cbd6b1
50,32,4,8,0.0003,0.2,0.0001,cosine_warmup,310,122784,19.62794303894043,21.194429397583008,2.9769543349140823,3.053738461033163,30,../checkpoints/GPT/hparams_search/best_hps_250828_140113_49a36545.pt,../checkpoints/GPT/hparams_search/last_hps_250828_140113_49a36545.pt,../checkpoints/GPT/hparams_search/hps_250828_140113_49a36545_hparams.json,hps_250828_140113_49a36545
50,32,2,8,0.0003,0.2,0.0001,cosine_warmup,310,122784,19.658628463745117,21.275489807128906,2.9785164213341093,3.0575556305615645,30,../checkpoints/GPT/hparams_search/best_hps_250828_135748_355e61bc.pt,../checkpoints/GPT/hparams_search/last_hps_250828_135748_355e61bc.pt,../checkpoints/GPT/hparams_search/hps_250828_135748_355e61bc_hparams.json,hps_250828_135748_355e61bc
